/V0/MINUS X,/V0/MINUS Y
0,1.130195409989442e-07
2.58e-10,1.13019541120526e-07
6.29e-10,1.130195411206633e-07
1e-09,1.130195411206446e-07
1.02e-09,1.13019541120742e-07
1.06e-09,1.130195411205941e-07
1.14e-09,1.130195411206333e-07
1.299999999999999e-09,1.130195411206651e-07
1.619999999999998e-09,1.130195411206308e-07
1.81875e-09,1.130195411206456e-07
1.830078125e-09,-0.0001232764348288069
1.845410405836308e-09,-0.0001102897580108812
1.852334681595851e-09,-2.798250048605738e-05
1.855796819475622e-09,2.881418374081375e-05
1.862721095235164e-09,0.000160450053271475
1.867739021075039e-09,0.0002079139540397972
1.872438272705758e-09,0.0002757259018957946
1.875317818015224e-09,0.0004706020900339749
1.876613283685939e-09,0.000651958817590361
1.877801953702039e-09,0.0008439124861641218
1.879159227640486e-09,0.001023439957115276
1.880396228980938e-09,0.001161661387783919
1.881743056217834e-09,0.001278418853383163
1.883187630272478e-09,0.001346526490439178
1.884459019526868e-09,0.001203172127591376
1.885373323813579e-09,0.0009145405105375816
1.88614024569768e-09,0.0007146065162545952
1.886780137916209e-09,0.0005871727205675345
1.887451625053161e-09,0.0004697536112808347
1.888602328751816e-09,0.000304744995295562
1.890210537200255e-09,0.0001396771727513719
1.892269778365699e-09,3.13198684620459e-05
1.89439004502137e-09,-1.805279123719556e-05
1.896774173183474e-09,-3.427738383690104e-05
1.89969121755129e-09,-4.413038875502519e-05
1.903677606526022e-09,-4.177779990193498e-05
1.909700752705879e-09,-4.546563988863741e-05
1.919724166403479e-09,-4.143793773194852e-05
1.939750428208939e-09,-4.474321082796281e-05
1.96987521410447e-09,-4.032498275229076e-05
2e-09,-4.336262638736034e-05
2.02e-09,-3.801014184789812e-05
2.026194390477663e-09,2.171327948709676e-06
2.035667574761349e-09,2.904080785742934e-06
2.044054965474144e-09,-1.031610251803616e-06
2.058107105052499e-09,3.643838709761447e-06
2.07660532294484e-09,-8.949163658276355e-07
2.103339810447268e-09,3.423792692756735e-06
2.146269707901328e-09,-7.128828412242345e-07
2.211940523507307e-09,3.299234517681686e-06
2.316982096027545e-09,-6.302845735785883e-07
2.486428155606291e-09,3.247079015192797e-06
2.758821892518949e-09,-5.976620722315939e-07
3e-09,3.220475669442989e-06
3.02e-09,1.361677475842488e-06
3.06e-09,1.318432357620401e-06
3.14e-09,1.31853453074824e-06
3.299999999999999e-09,1.318525122601465e-06
3.619999999999998e-09,1.318491281760749e-06
3.818750000000001e-09,1.318520711497524e-06
3.830078125000001e-09,-1.92463929075207e-05
3.848728116233438e-09,-1.238933428288633e-05
3.857030592465595e-09,1.161479893814887e-05
3.860446461134153e-09,2.180033183612628e-05
3.86727819847127e-09,3.518571552764575e-05
3.872515732578109e-09,4.765618403754075e-05
3.874167202610557e-09,6.114363568801485e-05
3.877470142675453e-09,0.0001338846856802912
3.879958829667521e-09,0.0001863110474538871
3.881746893031831e-09,0.0002142051728122788
3.883881248290971e-09,0.0002219307571218278
3.885391250211516e-09,0.0001547253028261653
3.886462092353997e-09,0.0001100430165055913
3.887814156410107e-09,6.978440682827451e-05
3.888763515454629e-09,4.931239419077454e-05
3.890509544485241e-09,2.067535887414401e-05
3.892668872036896e-09,4.86562115399123e-06
3.895237223319667e-09,-3.823143198002254e-06
3.898252742275577e-09,-4.890389564686064e-06
3.902040497902217e-09,-6.549991474218778e-06
3.907681939890767e-09,-5.377661549449876e-06
3.916725307693954e-09,-6.530380058975268e-06
3.934030433958493e-09,-5.268507248595208e-06
3.967874233269384e-09,-6.337507346335747e-06
4e-09,-5.016265846547653e-06
4.020000000000001e-09,-5.035531518187663e-06
4.026261575983128e-09,1.661531913841821e-06
4.035853175193519e-09,1.77680764131627e-06
4.044253874565436e-09,1.133068398169196e-06
4.058432828747563e-09,1.902683340632458e-06
4.077095867707078e-09,1.15395554311489e-06
4.104031038931207e-09,1.867434043264527e-06
4.147352131863727e-09,1.183400531705517e-06
4.21357532420242e-09,1.847222214910528e-06
4.319475783165822e-09,1.196835981218983e-06
4.490296805410486e-09,1.838728251710521e-06
4.764775357236906e-09,1.202153358212536e-06
5e-09,1.834312480725101e-06
5.02e-09,1.526536013679562e-06
5.060000000000001e-09,1.519414177601535e-06
5.140000000000003e-09,1.519437313843948e-06
5.300000000000005e-09,1.519429974558813e-06
5.620000000000011e-09,1.519429945414963e-06
5.81875e-09,1.519432091829247e-06
5.830078125e-09,2.32012231385228e-05
5.848703548796481e-09,2.919707816675057e-05
5.856865786927331e-09,5.11316829603955e-05
5.860304089320759e-09,6.409676822167798e-05
5.867180694107616e-09,7.566038642064039e-05
5.872430880571362e-09,8.934575783603035e-05
5.874069508506212e-09,0.0001015715227256324
5.877346764375912e-09,0.0001724080165676485
5.879894553028074e-09,0.00022690520737467
5.881680475967782e-09,0.0002550868242455284
5.883773674907087e-09,0.0002651090508608777
5.884846873802159e-09,0.0002248769424866482
5.885945762403667e-09,0.0001694124138547576
5.886972471642001e-09,0.0001343485505090958
5.887908221042591e-09,0.000109534445900651
5.888968576771474e-09,8.680187990678398e-05
5.891089288229242e-09,5.697650910386194e-05
5.893544563155955e-09,4.234553762206434e-05
5.896346541017754e-09,3.774791852101034e-05
5.899520624893063e-09,3.627236153038933e-05
5.90384944730823e-09,3.656343077084586e-05
5.91061620970894e-09,3.646033306157765e-05
5.923565618220619e-09,3.753480849131119e-05
5.949464435243976e-09,4.161015836941624e-05
5.962098326432982e-09,7.500966359166132e-05
5.96683603562886e-09,0.0001187329041450395
5.976311454020615e-09,0.0003179564151616293
5.984392268263115e-09,0.0004566745293196424
5.99032635365103e-09,0.0009068001379171159
5.992440492883231e-09,0.001259769510877017
5.994107938568698e-09,0.001489021850320167
5.995787637142633e-09,0.001687192736038611
5.99723055652688e-09,0.001776416424015111
5.998215050200315e-09,0.001621436917755635
5.999107525100158e-09,0.001354500245098106
6.000000000000001e-09,0.001162679585541606
6.000865651905115e-09,0.001004188601649862
6.001834944267931e-09,0.0007898521523460657
6.00290576582669e-09,0.0005516231950585611
6.0046368617936e-09,0.0002985427655590368
6.006618951998513e-09,0.0001796365591888107
6.00885755746608e-09,0.0001401945333511767
6.011536755941539e-09,0.000134445255378175
6.015394595990761e-09,0.0001322314776569757
6.020000000000001e-09,8.918446643949008e-05
6.023146394822269e-09,2.67136549112728e-05
6.027595558502756e-09,-5.591690589946494e-06
6.0317547112006e-09,1.544928381142538e-06
6.040073016596287e-09,1.414540494316105e-07
6.049986382861038e-09,6.140641871209415e-07
