/V0/MINUS X,/V0/MINUS Y
0,1.130195409989442e-07
5.2e-10,1.130195411205911e-07
1e-09,1.130195411206578e-07
1.02e-09,1.130195411206507e-07
1.06e-09,1.130195411206245e-07
1.14e-09,1.130195411206269e-07
1.299999999999999e-09,1.130195411206861e-07
1.619999999999998e-09,1.130195411206157e-07
1.81875e-09,1.130195411206602e-07
1.830078125e-09,-6.15817076438432e-05
1.845410405836308e-09,-5.508836923488025e-05
1.852334681595851e-09,-1.393474047246872e-05
1.855796819475622e-09,1.446360164096745e-05
1.862721095235164e-09,8.02815364062975e-05
1.867739021075039e-09,0.0001040134867904591
1.872438272705758e-09,0.0001379194607184575
1.875317818015224e-09,0.000235357554787522
1.876613283685938e-09,0.0003260359185657038
1.877801953702039e-09,0.0004220127528525917
1.879159227640486e-09,0.0005117764883281723
1.880396228980937e-09,0.0005808872036625036
1.881743056217834e-09,0.0006392659364621296
1.883187630272478e-09,0.0006733197549901545
1.884459019526868e-09,0.0006016425735662371
1.885373323813579e-09,0.0004573267650393533
1.88614024569768e-09,0.0003573597678978486
1.886780137916209e-09,0.0002936428700543202
1.887451625053161e-09,0.0002349333154109742
1.888602328751816e-09,0.0001524290074183351
1.890210537200255e-09,6.989509614624249e-05
1.892269778365699e-09,1.571644400157134e-05
1.89439004502137e-09,-8.969885848046166e-06
1.896774173183474e-09,-1.708218214789558e-05
1.899691217551291e-09,-2.200868460695702e-05
1.903677606526023e-09,-2.083239018041169e-05
1.90970075270588e-09,-2.267631017376258e-05
1.91972416640348e-09,-2.066245909541832e-05
1.939750428208955e-09,-2.231509564342562e-05
1.969875214104478e-09,-2.010598160558935e-05
2e-09,-2.162480342312453e-05
2.02e-09,-1.894856115339321e-05
2.026194390477662e-09,1.1421737449106e-06
2.035667574761348e-09,1.508550163427293e-06
2.044054965474142e-09,-4.592953553460631e-07
2.058107105052499e-09,1.878429125436601e-06
2.076605322944835e-09,-3.909484123579881e-07
2.103339810447256e-09,1.768406116934204e-06
2.146269707901302e-09,-2.999316500563147e-07
2.211940523507232e-09,1.706127029396595e-06
2.316982096027393e-09,-2.586325162333696e-07
2.486428155605972e-09,1.680049278152086e-06
2.758821892518376e-09,-2.423212655598013e-07
3e-09,1.666747605277153e-06
3.02e-09,7.373485084770578e-07
3.06e-09,7.157259493660233e-07
3.14e-09,7.157770359299005e-07
3.299999999999999e-09,7.157723318565988e-07
3.619999999999998e-09,7.157554114361498e-07
3.818750000000001e-09,7.157701263045808e-07
3.830078125000001e-09,-2.633181664693364e-05
3.84870354821697e-09,-1.297999791529303e-05
3.856865786278385e-09,3.340123038599813e-05
3.86030408877169e-09,5.495415290676914e-05
3.867180693758298e-09,8.16407177954413e-05
3.872430880279987e-09,0.0001065197209451005
3.87406950817305e-09,0.0001318920257158395
3.877346763959177e-09,0.0002733837931245507
3.879895047805587e-09,0.0003822934439833901
3.881680527192378e-09,0.0004386415841737408
3.88377463416488e-09,0.0004585135952960702
3.884847864582023e-09,0.0003780076055398648
3.885946672364872e-09,0.0002669877132526878
3.88697373624065e-09,0.0001968910739499351
3.88790925407137e-09,0.0001471787503347938
3.888970101681956e-09,0.0001017321516499404
3.891091796903129e-09,4.193074786152337e-05
3.893547747554404e-09,1.265255511563596e-05
3.896350085152315e-09,3.271272200204807e-06
3.899524867152782e-09,2.289751070079164e-07
3.903855571304948e-09,5.042286520986306e-07
3.910626551604744e-09,-6.322340306204343e-08
3.923588857570142e-09,9.770055858777586e-07
3.949513469500937e-09,1.918974762436057e-06
3.962135102125703e-09,1.378379330991063e-05
3.96686821435999e-09,2.7850201972611e-05
3.976334438828565e-09,9.492993785681428e-05
3.98439973235998e-09,0.0001405149232555335
3.990331133019332e-09,0.0002913694195850128
3.992443805851661e-09,0.0004083889793373887
3.99411158964035e-09,0.0004853501851472524
3.995790964749324e-09,0.0005508773609939577
3.99723316124856e-09,0.0005810038735303989
3.99821727361735e-09,0.0005287332540113502
3.999108636808675e-09,0.0004402905750112084
4e-09,0.0003760849190657056
4.000865076690916e-09,0.0003234507236740331
4.001834396777959e-09,0.0002520216111352357
4.002904923931284e-09,0.0001726228929758109
4.004635916498777e-09,8.826119327599638e-05
4.006618118575045e-09,4.861351814904721e-05
4.00885651852466e-09,3.549609186996597e-05
4.011535335504079e-09,3.360382678757202e-05
4.015392209943607e-09,3.2931142932915e-05
4.020000000000001e-09,2.483581550527162e-05
4.023146751949586e-09,9.912044467894415e-06
4.027596351951752e-09,-4.824804247835985e-07
4.031756232573901e-09,4.323741145302665e-07
4.0400759938182e-09,1.062148001140779e-06
