/V0/MINUS X,/V0/MINUS Y
0,6.083973973141617e-08
2.58e-10,6.084261334615814e-08
6.29e-10,6.084272301758836e-08
1e-09,6.084273693922108e-08
1.02e-09,6.084273564392865e-08
1.06e-09,6.084273027845215e-08
1.14e-09,6.084273430904696e-08
1.299999999999999e-09,6.084269414866458e-08
1.619999999999998e-09,6.08427565608479e-08
1.81875e-09,6.084273174518449e-08
1.830078125e-09,-9.052737136788276e-05
1.845360232671432e-09,-0.0001020688217524619
1.851142710238034e-09,-6.847186520983722e-05
1.858283361894493e-09,-9.007562236181457e-06
1.866408813652829e-09,7.538917413200705e-05
1.872417222125311e-09,0.0001347288657867735
1.878816250921674e-09,0.0002151264120014692
1.886862121153506e-09,0.0003196070845344737
1.888360834329445e-09,0.0003284322189853823
1.891358260681322e-09,0.0003303465015701956
1.894052461157201e-09,0.0003279034239677581
1.897677819922446e-09,0.0003236441431298009
1.901135366293582e-09,0.0003219061418644459
1.904710559753473e-09,0.000315299043739432
1.908874763559323e-09,0.0003084645785281501
1.914104724445736e-09,0.0002984367736463903
1.919745663730387e-09,0.0002918994387379135
1.926482816715992e-09,0.0002896292098014209
1.932987537089932e-09,0.0002964029965325097
1.939156251427113e-09,0.0003046991380125353
1.946875112950356e-09,0.0003162523986189163
1.953187073217128e-09,0.0003214333183905239
1.95982221915677e-09,0.0003251672266732762
1.966679948626321e-09,0.0003225833144535262
1.971947213687794e-09,0.0003174712520074636
1.978077663595863e-09,0.0003042340928695854
1.98423742905892e-09,0.0002887236795603864
1.990144763096779e-09,0.0002718835183193468
1.99507238154839e-09,0.0002601349428997728
2e-09,0.0002484002515485835
2.008016796196954e-09,0.0002343809921406983
2.014008398098477e-09,0.0002241957950466402
2.02e-09,0.0002251837241695316
2.023503504123032e-09,0.0002376461015104335
2.028411223707836e-09,0.0002368212213555778
2.032975129125917e-09,0.0002276176419725179
2.042102939962078e-09,0.0002168527327435879
2.050950609118162e-09,0.0002065885822620798
2.068010655387153e-09,0.0001928291033745494
2.093165552462074e-09,0.0001772583661309343
2.103980911779259e-09,0.0001727764538854649
2.12561163041363e-09,0.000163623416634298
2.146961505367528e-09,0.0001557112161612739
2.169842994072887e-09,0.0001465626388070922
2.179257276401123e-09,0.0001433513449818172
2.198085841057595e-09,0.0001365624639360026
2.23574297037054e-09,0.0001251540855380252
2.27268379159913e-09,0.0001152330656660579
2.311946609312944e-09,0.0001052786547346864
2.34274347668263e-09,9.548808474257508e-05
2.37042385795786e-09,8.702929855245515e-05
2.378477390460861e-09,8.479930506484579e-05
2.394584455466863e-09,8.113898009927966e-05
2.423849133763608e-09,7.491522692417219e-05
2.457405752099019e-09,6.925307407306661e-05
2.524518988769841e-09,5.984624443437772e-05
2.617680158445706e-09,5.023354959928251e-05
2.76620616471401e-09,3.849327587823952e-05
2.883103082357005e-09,3.167000137821277e-05
3e-09,2.593665886999839e-05
3.02e-09,2.516746012075084e-05
3.06e-09,2.362242201154573e-05
3.14e-09,2.073317037128589e-05
3.299999999999999e-09,1.602093176433859e-05
3.619999999999998e-09,9.681714983546904e-06
3.818750000000001e-09,7.558888072003218e-06
3.830078125000001e-09,-5.879843345810976e-06
3.84867182801525e-09,-7.508753643166513e-06
3.858228776757168e-09,7.03154508011087e-07
3.86854164245577e-09,7.735328187557239e-06
3.879154939547912e-09,1.644972862860176e-05
3.890933489356255e-09,2.922835329561955e-05
3.895038042406369e-09,3.381909934568846e-05
3.903247148506597e-09,3.771281744590133e-05
3.909960921789592e-09,3.585394034137861e-05
3.916858318234515e-09,3.64114870789539e-05
3.919336688222827e-09,3.510693048072709e-05
